Usuário,Objetivo do treino,Tempo (min),Distância (km),Histórico de lesão,Pace (min/km),Peso (kg),Altura (cm),Atividades/semana,Nível,objetivo_encoded,lesao_encoded,nivel_encoded
1,Emagrecimento,118,18.8,Não,6.26,79.9,173.0,6,Intermediário,1,0,2
2,Maratona,63,8.0,Não,7.84,89.0,172.0,6,Intermediário,2,0,2
3,Emagrecimento,48,6.7,Não,7.14,66.9,175.0,4,Intermediário,1,0,2
4,Emagrecimento,78,8.5,Não,9.22,69.0,199.0,2,Intermediário,1,0,2
5,Maratona,90,19.7,Não,4.58,94.4,165.0,4,Avançado,2,0,0
6,Maratona,111,16.6,Não,6.69,70.2,181.0,2,Avançado,2,0,0
7,Emagrecimento,28,3.6,Não,7.84,81.2,162.0,2,Iniciante,1,0,1
8,Bem-estar,146,26.1,Sim,5.59,94.5,173.0,5,Intermediário,0,1,2
9,Emagrecimento,153,18.8,Não,8.13,60.5,160.0,6,Avançado,1,0,0
10,Emagrecimento,176,35.8,Não,4.91,99.1,178.0,4,Avançado,1,0,0
11,Emagrecimento,164,24.3,Não,6.76,85.1,163.0,4,Avançado,1,0,0
12,Emagrecimento,163,20.7,Não,7.88,74.8,152.0,3,Avançado,1,0,0
13,Maratona,150,25.7,Não,5.83,71.5,191.0,6,Avançado,2,0,0
14,Emagrecimento,40,8.2,Não,4.87,97.7,156.0,1,Intermediário,1,0,2
15,Bem-estar,83,8.9,Não,9.29,60.3,168.0,1,Intermediário,0,0,2
16,Maratona,109,12.0,Não,9.07,65.6,174.0,3,Intermediário,2,0,2
17,Bem-estar,55,6.0,Não,9.13,65.4,172.0,2,Iniciante,0,0,1
18,Bem-estar,81,8.6,Não,9.39,64.5,186.0,3,Intermediário,0,0,2
19,Bem-estar,95,17.5,Não,5.42,73.4,180.0,3,Intermediário,0,0,2
20,Bem-estar,32,6.0,Sim,5.29,99.5,165.0,4,Iniciante,0,1,1
21,Maratona,30,6.4,Não,4.67,94.4,153.0,3,Intermediário,2,0,2
22,Maratona,73,8.1,Não,8.96,66.4,188.0,7,Intermediário,2,0,2
23,Bem-estar,35,4.2,Não,8.26,71.1,168.0,2,Iniciante,0,0,1
24,Bem-estar,27,3.5,Não,7.67,83.5,194.0,1,Iniciante,0,0,1
25,Maratona,123,13.5,Sim,9.14,50.9,170.0,5,Avançado,2,1,0
26,Maratona,78,10.6,Não,7.38,91.0,186.0,6,Intermediário,2,0,2
27,Maratona,76,14.8,Não,5.15,94.0,197.0,3,Intermediário,2,0,2
28,Emagrecimento,59,11.0,Não,5.38,92.9,183.0,6,Intermediário,1,0,2
29,Emagrecimento,149,28.9,Sim,5.16,68.8,171.0,3,Avançado,1,1,0
30,Emagrecimento,113,18.7,Não,6.04,73.1,178.0,7,Intermediário,1,0,2
31,Bem-estar,157,24.5,Não,6.4,50.6,177.0,6,Intermediário,0,0,2
32,Emagrecimento,63,7.4,Não,8.48,70.0,179.0,4,Intermediário,1,0,2
33,Bem-estar,158,28.9,Sim,5.46,73.0,157.0,4,Intermediário,0,1,2
34,Bem-estar,99,12.2,Não,8.13,95.3,185.0,6,Intermediário,0,0,2
35,Emagrecimento,100,14.4,Não,6.96,94.7,157.0,3,Intermediário,1,0,2
36,Bem-estar,21,2.2,Não,9.5,98.3,151.0,7,Iniciante,0,0,1
37,Emagrecimento,159,19.0,Não,8.38,94.3,181.0,7,Avançado,1,0,0
38,Emagrecimento,134,14.3,Não,9.34,50.4,156.0,3,Intermediário,1,0,2
39,Maratona,109,17.6,Não,6.21,82.1,189.0,2,Avançado,2,0,0
40,Emagrecimento,42,8.2,Não,5.12,53.4,193.0,1,Intermediário,1,0,2
41,Maratona,165,23.5,Não,7.03,63.6,197.0,1,Avançado,2,0,0
42,Emagrecimento,81,15.8,Não,5.12,78.9,183.0,7,Intermediário,1,0,2
43,Emagrecimento,132,19.0,Não,6.96,85.0,174.0,5,Avançado,1,0,0
44,Maratona,147,25.1,Sim,5.85,82.7,168.0,1,Avançado,2,1,0
45,Maratona,81,11.6,Não,6.96,52.5,175.0,5,Intermediário,2,0,2
46,Emagrecimento,57,6.2,Não,9.25,55.2,160.0,4,Intermediário,1,0,2
47,Bem-estar,80,13.4,Sim,5.95,56.4,167.0,5,Intermediário,0,1,2
48,Maratona,148,15.6,Sim,9.47,54.6,186.0,5,Avançado,2,1,0
49,Bem-estar,175,31.0,Sim,5.65,58.9,161.0,1,Intermediário,0,1,2
50,Bem-estar,168,30.3,Não,5.54,84.4,163.0,7,Intermediário,0,0,2
51,Bem-estar,141,19.5,Não,7.22,91.5,187.0,3,Intermediário,0,0,2
52,Maratona,129,14.8,Não,8.71,70.4,159.0,7,Avançado,2,0,0
53,Bem-estar,32,3.9,Sim,8.25,84.6,162.0,4,Iniciante,0,1,1
54,Maratona,174,21.4,Não,8.12,60.0,151.0,2,Avançado,2,0,0
55,Bem-estar,119,20.1,Sim,5.91,98.7,186.0,5,Intermediário,0,1,2
56,Emagrecimento,154,33.4,Não,4.61,67.5,181.0,5,Avançado,1,0,0
57,Emagrecimento,41,7.7,Não,5.31,92.3,185.0,6,Intermediário,1,0,2
58,Maratona,93,14.9,Não,6.25,97.3,161.0,5,Intermediário,2,0,2
59,Emagrecimento,151,16.1,Não,9.36,93.2,184.0,7,Avançado,1,0,0
60,Emagrecimento,42,4.6,Sim,9.1,53.4,180.0,3,Iniciante,1,1,1
61,Bem-estar,138,25.1,Sim,5.5,82.5,168.0,2,Intermediário,0,1,2
62,Maratona,89,10.9,Não,8.13,56.0,172.0,7,Intermediário,2,0,2
63,Bem-estar,103,13.9,Não,7.4,50.3,178.0,6,Intermediário,0,0,2
64,Bem-estar,120,25.3,Não,4.75,52.6,175.0,7,Intermediário,0,0,2
65,Bem-estar,103,16.2,Não,6.36,95.8,182.0,1,Intermediário,0,0,2
66,Bem-estar,180,26.0,Não,6.93,95.4,159.0,4,Intermediário,0,0,2
67,Bem-estar,47,6.0,Sim,7.84,61.3,177.0,3,Iniciante,0,1,1
68,Bem-estar,155,26.0,Sim,5.97,77.4,173.0,2,Intermediário,0,1,2
69,Bem-estar,20,2.2,Não,9.17,97.8,173.0,4,Iniciante,0,0,1
70,Maratona,82,12.1,Sim,6.76,74.8,173.0,1,Intermediário,2,1,2
71,Emagrecimento,41,7.1,Não,5.74,69.7,194.0,4,Intermediário,1,0,2
72,Bem-estar,89,14.6,Sim,6.08,74.2,191.0,6,Intermediário,0,1,2
73,Bem-estar,144,17.4,Não,8.26,89.5,181.0,5,Intermediário,0,0,2
74,Bem-estar,168,21.8,Não,7.7,73.9,186.0,5,Intermediário,0,0,2
75,Bem-estar,115,14.0,Não,8.21,89.2,152.0,3,Intermediário,0,0,2
76,Bem-estar,98,16.4,Não,5.96,71.6,187.0,4,Intermediário,0,0,2
77,Bem-estar,24,3.9,Não,6.13,62.6,174.0,7,Iniciante,0,0,1
78,Emagrecimento,79,12.2,Não,6.48,66.3,166.0,5,Intermediário,1,0,2
79,Emagrecimento,139,25.6,Sim,5.44,53.9,157.0,3,Avançado,1,1,0
80,Bem-estar,65,8.2,Não,7.96,74.9,154.0,3,Intermediário,0,0,2
81,Emagrecimento,153,24.9,Sim,6.15,57.4,152.0,6,Avançado,1,1,0
82,Maratona,75,12.2,Não,6.13,90.6,158.0,3,Intermediário,2,0,2
83,Bem-estar,129,22.1,Não,5.85,71.0,152.0,1,Intermediário,0,0,2
84,Maratona,176,26.0,Sim,6.76,88.3,187.0,7,Avançado,2,1,0
85,Maratona,123,14.7,Não,8.36,97.7,162.0,5,Avançado,2,0,0
86,Bem-estar,96,11.1,Não,8.68,92.5,168.0,5,Intermediário,0,0,2
87,Emagrecimento,165,19.4,Não,8.52,97.6,191.0,2,Avançado,1,0,0
88,Maratona,21,2.8,Não,7.61,78.4,156.0,1,Intermediário,2,0,2
89,Bem-estar,27,4.6,Não,5.9,58.3,192.0,5,Iniciante,0,0,1
90,Maratona,94,11.5,Não,8.17,96.8,182.0,6,Intermediário,2,0,2
91,Maratona,144,30.6,Sim,4.7,93.4,167.0,5,Avançado,2,1,0
92,Maratona,57,6.7,Não,8.49,93.2,156.0,2,Intermediário,2,0,2
93,Maratona,46,5.5,Não,8.4,84.7,155.0,4,Intermediário,2,0,2
94,Emagrecimento,39,5.0,Não,7.85,81.2,167.0,4,Intermediário,1,0,2
95,Maratona,159,31.9,Não,4.99,50.7,157.0,1,Avançado,2,0,0
96,Maratona,62,6.5,Não,9.49,87.4,163.0,3,Intermediário,2,0,2
97,Maratona,50,6.0,Não,8.28,54.6,153.0,2,Intermediário,2,0,2
98,Emagrecimento,110,13.5,Não,8.17,63.0,180.0,2,Intermediário,1,0,2
99,Maratona,80,16.6,Não,4.82,77.6,157.0,5,Avançado,2,0,0
100,Maratona,128,19.7,Não,6.49,72.6,188.0,6,Avançado,2,0,0
101,Emagrecimento,110,22.3,Não,4.93,50.8,161.0,5,Intermediário,1,0,2
102,Emagrecimento,114,18.1,Não,6.31,91.2,190.0,6,Intermediário,1,0,2
103,Emagrecimento,162,22.0,Sim,7.35,93.9,159.0,2,Avançado,1,1,0
104,Maratona,163,18.3,Não,8.89,84.1,186.0,3,Avançado,2,0,0
105,Emagrecimento,32,5.4,Não,5.91,77.1,167.0,4,Intermediário,1,0,2
106,Emagrecimento,132,17.3,Sim,7.62,98.0,179.0,1,Avançado,1,1,0
107,Maratona,54,10.2,Sim,5.32,56.0,152.0,7,Intermediário,2,1,2
108,Emagrecimento,168,26.8,Não,6.27,86.9,175.0,6,Avançado,1,0,0
109,Maratona,177,19.2,Não,9.24,56.4,157.0,4,Avançado,2,0,0
110,Bem-estar,67,8.1,Não,8.24,69.1,174.0,1,Intermediário,0,0,2
111,Emagrecimento,54,7.5,Não,7.23,79.3,157.0,3,Intermediário,1,0,2
112,Bem-estar,105,18.2,Sim,5.76,86.9,172.0,2,Intermediário,0,1,2
113,Maratona,178,27.8,Sim,6.4,50.2,156.0,3,Avançado,2,1,0
114,Emagrecimento,171,32.4,Não,5.28,63.0,161.0,6,Avançado,1,0,0
115,Maratona,133,21.2,Não,6.27,76.9,180.0,2,Avançado,2,0,0
116,Bem-estar,119,22.7,Não,5.25,76.6,199.0,5,Intermediário,0,0,2
117,Maratona,179,21.1,Sim,8.48,81.9,172.0,1,Avançado,2,1,0
118,Emagrecimento,118,24.1,Não,4.9,65.2,184.0,5,Intermediário,1,0,2
119,Emagrecimento,22,4.0,Não,5.45,77.0,177.0,2,Iniciante,1,0,1
120,Bem-estar,104,13.1,Não,7.96,59.5,175.0,7,Intermediário,0,0,2
121,Maratona,144,16.0,Não,9.01,59.3,153.0,1,Avançado,2,0,0
